city,item,course_type,why_not_filled,cuisine_family
ncr,kesri_petha,dessert,no evidence,
ncr,kesri_phirni,dessert,no evidence,
ncr,khata_mitha_pumpkin,veg_dry,no evidence,
ncr,khathal_masala,veg_dry,no evidence,
ncr,khatta_meetha_petha,dessert,no evidence,
ncr,khatta_meetha_pumpkin,veg_dry,no evidence,
ncr,khatta_mitha_pumpkin,veg_dry,no evidence,
ncr,kheer,dessert,no evidence,
ncr,kheera_raita,curd_side,no evidence,
ncr,kheera_raita_lemon_water,curd_side,no evidence,
ncr,khoya_barfi,dessert,no evidence,
ncr,kidney_beans_relish,salad,carries a chinese/continental flag,
ncr,kidney_beans_salad,salad,carries a chinese/continental flag,
ncr,kokum,welcome_drink,course has no agreed convention,
ncr,kokum_shikanj,welcome_drink,course has no agreed convention,
ncr,kokum_shikanji,welcome_drink,course has no agreed convention,
ncr,kulfi,dessert,no evidence,
ncr,kundru_masala,veg_dry,no evidence,
ncr,laccha_mooli,salad,carries a chinese/continental flag,
ncr,laccha_payaz,salad,carries a chinese/continental flag,
ncr,lachha_onion,salad,no evidence,
ncr,lachha_onion_mint_chatney,salad,carries a chinese/continental flag,
ncr,lachhaa_pyaaz_and_kachumber_salad,salad,carries a chinese/continental flag,
ncr,ladoo,dessert,no evidence,
ncr,lauki_tamatri_dry,veg_dry,no evidence,
ncr,lemon_mint_mojito,welcome_drink,carries a chinese/continental flag,
ncr,lemon_water,veg_gravy,carries a chinese/continental flag,
ncr,loki_raita,curd_side,no evidence,
ncr,macaroni_e_cocktail_sauce,salad,carries a chinese/continental flag,
ncr,manchurian,veg_gravy,carries a chinese/continental flag,
ncr,manesar_fruits,dessert,no evidence,
ncr,masala_chach,curd_side,no evidence,
ncr,masala_raita_aam_panna,curd_side,no evidence,
ncr,massor_pak,dessert,no evidence,
ncr,matri_chaat,salad,carries a chinese/continental flag,
ncr,milkcake,dessert,no evidence,
ncr,mix_green_kachumber_salad,salad,carries a chinese/continental flag,
ncr,mix_raita,curd_side,no evidence,
ncr,mix_toss_salad,salad,carries a chinese/continental flag,
