city,item,course_type,column,why_not
bangalore,apple_and_mint_detox_water,infused_water,sub_category,no word its siblings agree about
bangalore,apple_and_pomegranate_infused_water,infused_water,is_* flags,no attribute or word its siblings agree about
bangalore,apple_and_pomegranate_infused_water,infused_water,sub_category,no word its siblings agree about
bangalore,apple_cinnamon_water,infused_water,is_* flags,no attribute or word its siblings agree about
bangalore,apple_cinnamon_water,infused_water,sub_category,no word its siblings agree about
bangalore,apple_mint_cooler,welcome_drink,drink_rule_group,no word its siblings agree about
bangalore,asian_crispy_salad,salad,key_ingredient,no word its siblings agree about
bangalore,asian_glazed_chicken,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,assorted_bajji,starter,key_ingredient,no word its siblings agree about
bangalore,awadhi_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,awadhi_chicken_curry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,awadhi_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,awadhi_chicken_korma,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,awadhi_chicken_murgh,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,awadhi_murgh_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,awadhi_paneer_pasnda,veg_gravy,gravy_region,no word its siblings agree about
bangalore,baigan_bharta,veg_gravy,gravy_region,no word its siblings agree about
bangalore,baigan_bharta,veg_gravy,key_ingredient,no word its siblings agree about
bangalore,balekai_bajji,starter,key_ingredient,no word its siblings agree about
bangalore,bangalore_khuska,rice,key_ingredient,no word its siblings agree about
bangalore,bangalore_style_masala_khuska,rice,key_ingredient,no word its siblings agree about
bangalore,banjara_murgh_dry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,banjara_murgh_dry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,beetroot_and_celery_detox_water,infused_water,is_* flags,no attribute or word its siblings agree about
bangalore,beetroot_and_celery_detox_water,infused_water,sub_category,no word its siblings agree about
bangalore,beetroot_celery_spa_water,infused_water,is_* flags,no attribute or word its siblings agree about
bangalore,beetroot_celery_spa_water,infused_water,sub_category,no word its siblings agree about
bangalore,beetroot_roti,bread,sub_category,no word its siblings agree about
bangalore,bengali_chicken,nonveg_main,gravy_region,no word its siblings agree about
bangalore,bengali_chicken,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,bengali_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,bengali_chicken_masala,nonveg_main,gravy_region,no word its siblings agree about
bangalore,bengali_chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,bengali_chorchori_dry,veg_dry,key_ingredient,no word its siblings agree about
bangalore,bengali_egg_curry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,bengali_egg_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,bengali_style_egg_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,bhatkal_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,bhuna_chicken_masala,nonveg_main,gravy_region,no word its siblings agree about
bangalore,bhuna_chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,bhuna_murgh,nonveg_main,gravy_region,no word its siblings agree about
bangalore,bhuna_murgh,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,bittergourd_dry,veg_dry,key_ingredient,no word its siblings agree about
bangalore,black_chana_tariwala,veg_gravy,gravy_region,no word its siblings agree about
bangalore,black_eyed_peas_curry,veg_gravy,gravy_region,no word its siblings agree about
bangalore,black_eyed_peas_curry,veg_gravy,is_* flags,no attribute or word its siblings agree about
bangalore,blueberry_pastry,dessert,key_ingredient,no word its siblings agree about
bangalore,bohri_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,boiled_egg_with_pepper_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,bombay_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,boneless_chicken_in_hot_garlic_sauce,nonveg_main,gravy_region,no word its siblings agree about
bangalore,boneless_chicken_in_hot_garlic_sauce,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,brinji_rice,rice,flavoured_rice_region,no word its siblings agree about
