city,item,course_type,flagged_color,current_color,in_city_list,confidence,richness_score,spice_level,texture
bangalore,creamy_lamcha,dessert,brown,brown,yes,0.569,4,0,soft
bangalore,cucumber_and_chiya_seetd_spa_water,infused_water,green,green,yes,0.569,1,0,fresh
bangalore,cucumber_and_lemon_detox_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,cucumber_and_lemon_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,detox_water,welcome_drink,yellow,yellow,yes,0.569,1,0,fresh
bangalore,dhaniawala_murgh_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,dhokla_with_chutney,starter,brown,brown,yes,0.569,2,1,soft
bangalore,dijon_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,dingri_mutter,veg_gravy,green,green,yes,0.569,2,1,saucy
bangalore,donne_style_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,donne_vegetable_dum_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,dosekkai_pappu,sambar,yellow,yellow,yes,0.569,2,1,saucy
bangalore,double_dum_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,dragon_fruit_spa_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,dum_aloo_fry,veg_dry,yellow,yellow,yes,0.569,5,1,crisp
bangalore,dum_ka_murgh,nonveg_main,red,red,yes,0.569,5,1,saucy
bangalore,fried_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,crisp
bangalore,fried_chicken_masala_biryani,nonveg_main,red,red,yes,0.569,5,2,crisp
bangalore,ginger_and_lemon_detox_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,gobi_aloo_matar_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,gobi_aloo_mutter,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,gobi_burji,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,gobi_capsicum_pepper_masala,veg_dry,red,red,yes,0.569,2,2,saucy
bangalore,grape_fruit_pomegranate_infused_water,infused_water,white,white,yes,0.569,1,0,fresh
bangalore,guava_and_lemon_detox_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,guava_and_lemon_infused_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,gugni_chaat,starter,brown,brown,yes,0.569,2,1,crisp
bangalore,gujarat_masala_bath,rice,red,red,yes,0.569,2,1,saucy
bangalore,gujarati_amruth_pak,dessert,yellow,yellow,yes,0.569,4,0,soft
bangalore,gujarati_pakodi_kadhi,veg_gravy,yellow,yellow,yes,0.569,2,1,saucy
bangalore,haandi_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,hederabad_dum_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,heerekaayi_stir_fry,veg_dry,red,red,yes,0.569,2,1,crisp
bangalore,heerekai_ennegayi,veg_gravy,green,green,yes,0.569,2,1,saucy
bangalore,herbed_butter_vegetable,healthy_rice,brown,brown,yes,0.569,4,0,saucy
bangalore,herbed_millet_and_bell_pepper,healthy_rice,brown,brown,yes,0.569,1,1,saucy
bangalore,hesarubele_dalimba_kosambari,salad,green,green,yes,0.569,1,0,fresh
bangalore,horsegram_with_alugadde_huli,sambar,brown,brown,yes,0.569,2,1,saucy
bangalore,hyd_chicken_dum_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,hyd_dum_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,hyd_veg_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,hyd_veg_dum_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,hyderabad_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,hyderabad_veg_dum_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,hyderabadi_chicken_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,jal_jeera,welcome_drink,brown,brown,yes,0.569,1,0,saucy
bangalore,jeera_scented_rice,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,jhal_muri_chaat,starter,brown,brown,yes,0.569,2,1,crisp
bangalore,kabuli_chana_chaat,salad,green,green,yes,0.569,1,0,crisp
bangalore,kachi_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,kadale_bele_kosambari,salad,brown,brown,yes,0.569,1,0,fresh
bangalore,karivepu_chitranna,rice,brown,brown,yes,0.569,2,0,saucy
bangalore,karnataka_veg_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,kathal_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,kodi_guddu_masala,nonveg_main,red,red,yes,0.569,2,2,saucy
bangalore,kolkata_aloo_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,kothmiri_bhat,rice,brown,brown,yes,0.569,2,0,saucy
bangalore,kozhi_varutharacha_kuzhambu,nonveg_main,red,red,yes,0.569,2,1,saucy
bangalore,kozhikod_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,kundapura_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,laal_murgh,nonveg_main,red,red,yes,0.569,3,3,saucy
bangalore,lasooni_murgh,nonveg_main,yellow,yellow,yes,0.569,3,1,saucy
bangalore,lauki_do_pyaza,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,lauki_kabuli_chana_subji,veg_dry,green,green,yes,0.569,2,1,dry
bangalore,lauki_kadhi_pakodi,veg_gravy,yellow,yellow,yes,0.569,2,1,saucy
bangalore,lauki_pakodi_kadhi,veg_gravy,yellow,yellow,yes,0.569,2,1,saucy
bangalore,lauki_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,layer_chicken_dum_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,lemon_and_celery_detox_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,lemon_and_cloves_detox_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,lemon_cilantro_rice,rice,yellow,yellow,yes,0.569,2,0,grainy
bangalore,lemon_cucumber_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,lemon_ginger_zing,infused_water,yellow,yellow,yes,0.569,1,0,saucy
bangalore,lemon_rice_with_chuteny,rice,yellow,yellow,yes,0.569,2,0,grainy
bangalore,lobiya_capsicum_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,lychee_lime_cooler,welcome_drink,red,red,yes,0.569,1,0,saucy
bangalore,madras_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,malai_sandwich,dessert,green,green,yes,0.569,5,0,soft
bangalore,malaysian_fried_rice,rice,brown,brown,yes,0.569,4,0,crisp
bangalore,masala_lemon_soda,welcome_drink,yellow,yellow,yes,0.569,1,0,saucy
bangalore,masala_millet,healthy_rice,red,red,yes,0.569,1,1,saucy
bangalore,masaledar_rice,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,matar_chale_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,mehgna_style_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,mix_sprout_chaat,starter,green,green,yes,0.569,1,1,crisp
bangalore,mix_veg_do_pyaza,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,mix_veg_dum_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,mix_veg_fried_rice,rice,brown,brown,yes,0.569,4,0,crisp
bangalore,mix_veg_in_dark_soya,veg_gravy,red,red,yes,0.569,2,1,saucy
bangalore,mix_veg_onion_pokoda,starter,brown,brown,yes,0.569,2,1,crisp
bangalore,mongolian_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,motichoor_ladoo,dessert,brown,brown,yes,0.569,5,0,soft
bangalore,motichur_ladoo,dessert,brown,brown,yes,0.569,5,0,soft
bangalore,mughalai_chicken_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,mulagatwani_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,mulligatawny_chicken_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,muradabadi_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,murgh_badami_shorba,nonveg_soup,red,red,yes,0.569,2,1,saucy
bangalore,murgh_dum_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,murgh_lalmaas,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,murgh_lazzez,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,murgh_patiala,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,murgh_saagwala,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,murgh_shahjahani,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,mushmelon_cooler,welcome_drink,green,green,yes,0.569,1,0,saucy
bangalore,mushroom_capsicum_pepper_fry,veg_dry,brown,brown,yes,0.569,4,2,crisp
bangalore,mushroom_dum_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,mushroom_kali_mirch,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,mushroom_kali_mirch_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,nei_paruppu,dal,brown,brown,yes,0.569,2,1,saucy
bangalore,nippat_chaat,starter,brown,brown,yes,0.569,2,1,crisp
bangalore,padvalkayi_chana_kootu,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,panchmel_sabz_sukhi,veg_dry,yellow,yellow,yes,0.569,2,1,dry
bangalore,panner_do_pyaza,veg_gravy,red,red,yes,0.569,2,1,saucy
bangalore,parsley_potato,healthy_rice,green,green,yes,0.569,2,0,saucy
bangalore,parwal_do_pyaza,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,parwal_masala,veg_dry,red,red,yes,0.569,2,2,saucy
bangalore,pasta_arrabiata,rice,red,red,yes,0.569,2,0,grainy
bangalore,pepper_chicken,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,pepper_chicken_fry,nonveg_main,red,red,yes,0.569,5,2,crisp
bangalore,peshwari_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,poondu_kuzhambu,sambar,red,red,yes,0.569,2,1,saucy
bangalore,poondu_pui_kuzhambu,sambar,red,red,yes,0.569,2,1,saucy
bangalore,poonmdu_kuzhambu,sambar,red,red,yes,0.569,2,1,saucy
bangalore,potato_cauliflower_milagupirati,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,punjabi_murgh_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,punjabi_mushroom_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,punjabi_pakodi_kadhi,veg_gravy,yellow,yellow,yes,0.569,2,1,saucy
bangalore,punjabi_pindi_chole,veg_gravy,red,red,yes,0.569,2,1,saucy
bangalore,purani_dilli_ka_butter_chicken,nonveg_main,red,red,yes,0.569,5,0,saucy
bangalore,ragada_patties_chaat,starter,brown,brown,yes,0.569,2,1,crisp
bangalore,rajput_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,rara_murgh,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,red_pasta,starter,brown,brown,yes,0.569,2,1,grainy
bangalore,red_rice_khanji,healthy_rice,brown,brown,yes,0.569,2,0,grainy
bangalore,red_rice_pilaf,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,ridge_gourd_stir_fry,veg_dry,yellow,yellow,yes,0.569,2,1,crisp
bangalore,roasted_potato,healthy_rice,brown,brown,yes,0.569,2,0,saucy
bangalore,roasted_potato_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,sesame_dragon_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,singaporean_veg_fried_rice,rice,brown,brown,yes,0.569,4,0,crisp
bangalore,sorekayi_kadale_bele_kootu,veg_dry,brown,brown,yes,0.569,2,1,dry
bangalore,soya_brinji,rice,red,red,yes,0.569,2,0,saucy
bangalore,soya_burji,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,soya_capsicum_masala_masala,veg_dry,red,red,yes,0.569,2,2,saucy
bangalore,soya_dum_biryani,rice,red,red,yes,0.569,4,0,grainy
bangalore,soya_kheema_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,soya_stir_fry,healthy_rice,red,red,yes,0.569,2,0,crisp
